ADD TYG 567,3 25235 725182
ADD PYY 898,2 37155 667440
REMOVE JOL 186,5 70550 699023
ADD TAF 23,2 92729 777263
ADD CSO 503,8 93278 643331
UPDATE PUC OCJ 62,3 6024 14095
ADD KSV 816,6 38793 646880
ADD XCX 543,5 64542 160102
UPDATE ENV ZAK 79,1 58447 454483
ADD GLI 92,4 89953 903900
REMOVE WUW 132,2 18084 401976
REMOVE GHG 535,7 46979 375809
ADD KBI 759,0 28298 687085
REMOVE MKY 18,6 39595 333518
SEARCH JZK 983,5 82556 905236
ADD UBT 368,7 4959 63951
UPDATE YGN BFC 15,5 94623 429809
ADD GKS 406,4 95864 602595
REMOVE KTV 752,2 92768 835987
ADD LXH 590,2 3817 398864
ADD FSJ 56,7 17386 702126
ADD CGX 465,0 4945 546187
ADD HXN 110,0 27450 750656
REMOVE JIL 330,7 20610 845126
ADD MGJ 976,8 24647 144641
UPDATE JMG KLT 22,8 11083 142566
ADD GNS 820,7 7314 838749
ADD DSH 810,3 85458 559497
ADD AMN 899,2 91634 750665
UPDATE OST ZIG 6,9 50710 372789
SEARCH INQ 491,9 76023 655935
REMOVE GNT 569,0 34129 235822
ADD WKW 656,1 30178 218980
SEARCH QER 313,1 57701 776498
ADD TYZ 321,0 80806 131288
REMOVE TPU 141,4 80977 741119
UPDATE MQE LRD 53,3 48940 566614
ADD PUL 270,8 74157 833469
SEARCH VFT 909,7 46560 531618
ADD QOL 169,6 92924 366871
REMOVE JMZ 102,0 20296 512217
UPDATE QCP ESP 21,3 10480 308773
ADD WQW 30,6 99010 267950
UPDATE OIB SOF 69,5 78089 527683
ADD WUF 699,8 98771 829980
ADD PRA 544,8 55666 781829
ADD WOF 907,3 98287 861635
ADD RJE 438,0 22088 755775
ADD PFT 247,5 56162 274756
ADD DXB 669,1 25937 354111
ADD GAI 382,7 23684 729277
REMOVE MSL 635,5 33483 707560
ADD EUJ 55,3 7681 92049
SEARCH OPY 383,8 82340 739161
REMOVE HAE 559,2 85183 796711
UPDATE NQT KZN 46,5 43379 335
UPDATE DLF MWO 46,0 1223 815347
UPDATE PIF FHD 78,4 95428 707652
SEARCH XBO 298,4 44821 835688
REMOVE WOP 542,8 57661 58042
ADD XRX 347,7 46617 184838
REMOVE XON 592,2 60112 586834
UPDATE IBX VUE 71,1 29006 702670
REMOVE EQJ 208,3 92064 282633
ADD XBM 500,3 10987 149424
ADD QTY 446,6 41996 912707
REMOVE LFD 792,0 70390 354784
ADD APC 355,5 21873 639908
ADD QFP 226,9 26177 653718
REMOVE TQY 729,7 73486 935717
ADD XEV 671,7 21414 395614
REMOVE OVW 914,3 62444 599193
ADD CQY 744,6 83372 734374
SEARCH EXZ 372,5 18086 148197
REMOVE GIY 421,7 8022 221386
REMOVE QER 59,0 92973 777981
ADD IUU 387,9 93207 338912
REMOVE MUI 72,0 65277 285369
ADD LLO 565,5 83347 612539
UPDATE RDR IDC 12,6 74542 329155
ADD KBB 394,0 64884 401847
REMOVE MAZ 915,1 3652 354811
ADD SSM 394,6 37136 125265
REMOVE GYV 79,6 90771 339110
REMOVE USS 95,3 59385 446886
ADD RAX 434,2 67400 341153
ADD VEO 31,9 49801 334695
SEARCH FBC 63,1 3418 815297
ADD CMZ 514,5 19328 557331
UPDATE ZVO CBO 82,3 72476 302278
ADD GPM 932,7 14212 137420
UPDATE YLT QSM 32,0 92059 879668
REMOVE XMW 874,6 1434 503856
ADD VYR 109,0 86499 994336
ADD DXZ 101,1 3617 849638
REMOVE DYF 383,4 42967 898844
REMOVE DQX 550,5 72253 39165
SEARCH ISW 477,8 48297 511131
REMOVE HQI 694,4 52849 160292
REMOVE GBE 319,6 25967 624988
SEARCH ZAC 941,4 15874 777957
UPDATE BNB MFI 28,1 32785 254994
ADD IDE 693,0 8589 209844
SEARCH DNP 956,9 29651 394259
ADD FCC 925,1 93231 484588
REMOVE NIJ 912,9 31281 590890
UPDATE IAA IZB 56,3 2791 385287
ADD IPA 719,2 79590 283533
UPDATE IVD ZOQ 91,1 59610 837760
ADD VGL 256,0 42568 184155
ADD THN 194,9 50112 893392
REMOVE BER 310,8 91535 542008
UPDATE AUH ICN 43,2 59419 595613
SEARCH XRD 19,2 37118 305169
ADD QAC 412,7 8419 546269
ADD JCP 645,1 814 95749
ADD WTD 666,0 35059 871652
ADD BXA 488,1 36203 931770
SEARCH IKI 47,0 48513 852495
REMOVE LKL 71,6 87626 489995
ADD KWR 913,4 22093 916577
SEARCH LDN 905,0 51457 276646
SEARCH BRW 589,6 28195 172979
REMOVE BNI 976,7 25055 888573
REMOVE FSC 102,6 42757 975162
ADD MOJ 14,8 54617 101422
REMOVE TIX 685,6 6164 80134
SEARCH WIN 582,5 58381 397462
ADD FBN 664,3 36791 238941
ADD SSS 331,2 53473 626151
ADD PCO 966,8 53583 105942
REMOVE DPH 128,6 27996 730642
REMOVE VEQ 644,9 12234 758211
SEARCH RRT 332,2 22031 104740
UPDATE UYT JEL 98,0 75638 65034
ADD GBS 46,3 22623 184139
ADD YZM 909,8 81009 113249
ADD UBB 72,3 73985 127233
ADD CBD 701,3 61353 851486
ADD JXP 313,2 66328 205955
REMOVE JWE 926,1 90474 816922
SEARCH WGW 332,5 26484 196
SEARCH LLJ 364,6 9031 150919
REMOVE OTI 740,2 48159 896108
SEARCH HCJ 525,9 16384 898432
SEARCH RMR 295,8 58156 226700
REMOVE ZQV 152,1 22167 440288
UPDATE HIP QTF 61,1 36558 424222
ADD QBK 383,4 25510 103144
SEARCH FRS 221,0 11558 717501
UPDATE HYX ONB 80,6 45812 747672
ADD YHS 602,9 91410 91482
UPDATE POZ NNN 87,2 20430 317363
SEARCH QHO 806,1 56198 349422
SEARCH UJY 546,2 22070 569313
REMOVE PJA 640,1 91313 441094
REMOVE GGQ 108,7 42238 877599
ADD XZE 497,5 54546 685913
SEARCH JLA 461,9 80646 643113
ADD IQW 787,2 14500 210355
REMOVE YDL 594,5 459 981512
REMOVE SJY 823,2 51450 903199
ADD ULP 720,7 35252 267937
REMOVE AOC 380,0 52388 749291
REMOVE XDN 718,7 73915 980097
REMOVE JDN 280,0 53202 2907
UPDATE ZTE NZP 62,3 28295 962174
ADD QJQ 100,2 7198 904004
ADD AMZ 538,5 44591 764519
ADD QQQ 681,9 18007 333114
REMOVE CWS 275,8 97104 268062
SEARCH KLI 461,6 26105 433881
REMOVE BZX 523,5 30097 451806
ADD JVY 988,1 88909 780075
ADD IKR 622,1 30008 134307
SEARCH RXX 702,6 30657 378639
ADD QPR 880,3 91120 377813
UPDATE TLS XBG 45,2 98417 454053
ADD DBR 35,6 83455 743231
REMOVE CND 286,6 27446 964143
REMOVE LIP 428,2 8675 839464
ADD WAZ 188,2 20597 403311
SEARCH AXN 992,3 31329 901909
SEARCH KVO 428,2 4057 671169
SEARCH DII 690,7 81354 398951
ADD WAJ 400,4 18922 841393
UPDATE YJT LCT 91,7 76345 909077
ADD URR 292,9 10122 905923
ADD FOZ 197,3 43295 230883
REMOVE TNY 14,7 78127 151598
ADD XQN 494,2 16482 342002
ADD FWP 983,2 55518 970330
ADD XGR 340,4 24088 984053
SEARCH UQU 438,0 54888 844204
REMOVE RPG 427,2 64441 62945
ADD AHA 252,6 68127 230661
ADD NLP 452,0 2337 769674
UPDATE CDC FLN 25,1 17031 510275
ADD TPL 727,5 3860 138022
REMOVE MBO 591,3 58642 638152
ADD SNS 860,4 64488 546554
SEARCH CDV 725,0 979 156715
REMOVE QXJ 615,5 24798 272264
ADD AEF 497,2 11473 653168
REMOVE EFC 483,4 29007 483559
REMOVE GMK 744,6 58675 636342
ADD NYS 349,3 19937 703649
UPDATE HQQ XAK 68,7 59128 700542
REMOVE YBJ 797,3 16502 456692
ADD ERA 6,2 21044 795406
REMOVE YOQ 1,9 36368 255565
ADD OQM 183,4 76071 125110
ADD WRX 290,0 47865 828273
ADD MKZ 233,5 73226 544160
ADD VTH 4,8 52977 182980
ADD GUH 9,1 19627 147555
UPDATE VTK NVV 3,0 40898 137171
REMOVE EXU 251,7 41094 529790
REMOVE FKL 235,4 16075 834942
UPDATE GUW FTE 23,8 27958 491415
ADD ZCD 109,0 20703 982918
ADD PGU 799,2 71376 794282
ADD AGK 200,4 43345 359745
UPDATE LSM RSM 69,8 72431 416776
REMOVE WGK 424,0 62368 770673
ADD HCB 178,3 56797 546396
ADD XTU 559,5 5273 187196
UPDATE BKJ XHZ 72,2 71729 518246
ADD FME 246,4 50151 519733
SEARCH IWW 761,3 90749 758192
SEARCH DBJ 566,4 28254 779193
ADD PTO 351,9 70033 461716
ADD XQP 946,0 90662 398958
ADD JBM 82,7 4598 5217
ADD AUU 632,8 9930 869895
ADD IUT 57,2 92967 832316
REMOVE VCK 51,7 67612 518840
ADD WCS 361,1 30070 967687
ADD FOX 436,8 20094 940891
ADD WVC 26,0 8449 111121
ADD VOB 529,8 92808 92331
SEARCH DST 872,0 72509 835176
ADD SWT 704,9 21402 543191
UPDATE UKE ZIG 60,4 50180 572288
REMOVE ACR 573,1 46151 503265
REMOVE UBW 713,3 13920 729852
ADD PQX 922,9 84568 175449
ADD VBZ 180,8 55401 40230
ADD DMF 546,7 618 965182
REMOVE WWU 464,8 25230 650795
ADD DCR 708,3 66286 549236
ADD KEQ 494,6 55219 965218
ADD CZI 950,8 50783 460918
REMOVE BDP 913,8 98010 502629
ADD TXH 410,2 92737 154099
REMOVE IPC 830,8 19440 828698
UPDATE MCT XMB 38,3 75813 528371
ADD CVP 45,4 63015 832225
ADD QHC 499,1 42298 436198
ADD JYM 969,0 1586 12405
UPDATE ONH XAH 66,7 55032 796263
REMOVE DSJ 34,1 57709 479309
ADD VDH 224,8 46173 60623
SEARCH IBE 982,9 81324 191775
UPDATE XUS ZGM 58,3 16316 103728
ADD SCV 932,1 73772 360695
UPDATE MGR RBN 49,4 98184 308227
ADD MYX 181,9 25583 735426
REMOVE LDN 590,3 14875 118000
ADD UGK 256,3 6785 721938
REMOVE YXR 463,8 83613 741742
ADD JNZ 5,7 7673 282155
UPDATE FFE BSH 28,3 10969 946767
REMOVE TBS 322,6 38681 321909
SEARCH RTR 906,9 92154 96601
ADD LIS 748,5 25542 277732
ADD LSN 65,0 31851 882141
ADD HLV 259,5 53326 939532
ADD QES 217,6 24051 142009
ADD SAU 879,6 37537 438030
ADD UDS 241,4 13478 367373
REMOVE PYZ 115,4 84937 835155
ADD BVY 481,1 28747 943328
ADD DNX 969,8 46491 602975
SEARCH ZTC 815,7 31272 890651
ADD BVZ 296,3 18184 192196
REMOVE MSZ 899,5 50197 954986
ADD XDS 445,9 83692 898354
UPDATE YKM HMT 99,1 34441 997570
ADD TKX 230,6 58395 575983
ADD UHA 691,3 8036 498497
REMOVE RIV 260,6 8516 735853
UPDATE YDE TGO 54,5 30146 280646
ADD ZHK 76,7 89108 825746
ADD LUY 635,6 44899 588918
ADD DTD 130,7 98343 655029
UPDATE GEH EIS 80,0 52966 560955
REMOVE QDV 369,1 64336 66798
ADD JQY 101,9 25614 206519
ADD XNP 980,3 59266 278733
REMOVE DBB 361,2 33252 255378
ADD HVV 823,8 68667 232647
ADD SSS 970,2 76291 983286
REMOVE MGU 304,2 23070 19913
ADD LNM 678,2 47427 873594
ADD MEC 622,1 68435 858786
ADD HUJ 308,5 4064 46898
ADD SDG 432,1 52078 174374
REMOVE IHD 383,5 78892 907355
ADD WZH 460,2 19770 15668
REMOVE GUJ 611,8 15900 530662
ADD GRA 737,8 72072 566344
SEARCH BMH 974,2 83447 361445
REMOVE VAT 378,0 77872 430261
ADD QOB 816,0 33532 774465
SEARCH JKD 110,5 93890 581097
ADD CCB 645,0 5283 700430
UPDATE CLI MKE 37,4 95908 447509
SEARCH VYQ 862,9 24967 646149
UPDATE AMK XSE 78,5 79420 500713
REMOVE PSH 597,7 8639 393965
ADD RMD 596,4 74072 628456
REMOVE VFU 612,0 60584 698957
SEARCH ULV 268,3 15359 807638
UPDATE LIE VEZ 73,3 45296 353988
SEARCH YZN 608,4 93420 807297
ADD YIH 667,5 46 625863
UPDATE DEM XZR 26,5 11355 757588
REMOVE YGW 713,4 97799 211157
REMOVE UYA 316,5 25382 564578
REMOVE KHH 879,3 56392 501837
REMOVE EUR 376,2 53782 319160
REMOVE XVW 220,0 91348 624803
ADD KNI 240,7 71187 228134
REMOVE UYL 562,2 33800 544222
UPDATE MLV YFU 45,3 2778 676381
ADD NFM 804,8 92785 341580
UPDATE WNH KNZ 32,7 47607 50042
SEARCH VOU 515,5 84136 338921
SEARCH NVO 642,9 31981 980749
ADD CKH 378,3 67988 474548
ADD OGQ 56,4 82349 784618
UPDATE AJI STE 65,9 49503 658604
ADD KGP 228,6 71872 269200
ADD KNU 905,4 1379 470131
ADD WWM 404,6 5024 391347
ADD YYF 86,1 70386 780644
ADD ROU 726,9 86656 405693
ADD NZO 826,8 64991 483666
SEARCH SVQ 356,7 6729 126450
UPDATE IXY YPU 81,4 86391 706617
UPDATE CWU MUW 55,0 22534 705096
REMOVE QSO 104,4 79485 419744
REMOVE IIF 501,3 71779 257023
SEARCH BKS 813,4 81910 971842
ADD PQU 898,2 44270 883421
UPDATE WPH CGN 21,5 75010 334624
SEARCH NBJ 348,0 42057 98610
SEARCH ZFS 600,9 75182 109172
SEARCH ZEF 627,0 72710 831467
SEARCH TCB 362,8 80871 942100
ADD MQW 97,5 92410 409347
REMOVE HKW 324,2 15158 428304
ADD UHL 34,9 28495 338716
REMOVE LEN 289,2 48267 513961
ADD PDD 981,2 94067 994264
SEARCH NUK 489,5 31198 964019
UPDATE DZP OUL 96,1 86026 627367
ADD THY 248,9 71196 947867
REMOVE DGN 227,3 91233 78475
ADD LTF 821,7 19107 988472
SEARCH EHC 417,6 67577 198035
ADD XIH 153,9 60440 398705
REMOVE XRT 811,3 52638 722790
REMOVE JQC 51,4 63794 978343
SEARCH AKK 653,5 72929 417003
ADD OHW 538,6 24365 860320
ADD UVW 223,4 46808 790241
ADD XZC 64,0 12840 167026
SEARCH YKI 22,2 44258 187752
REMOVE ZBV 841,9 99970 342524
ADD NCS 469,3 87147 495846
ADD ZPY 370,0 49930 874776
REMOVE FCF 535,3 78139 326257
ADD SUG 222,6 54819 417920
UPDATE EPI BIN 83,6 75992 758325
ADD DKY 775,6 95805 359575
SEARCH BCF 454,5 43366 279624
UPDATE JHM DIE 10,8 59802 801182
REMOVE UAV 566,1 99856 662739
REMOVE ZCD 15,9 71569 176841
REMOVE OSY 888,3 88143 8005
ADD RXY 740,9 36075 144686
REMOVE VDC 536,4 63677 215825
ADD ATZ 654,8 46845 1199
ADD OHH 264,7 18843 998264
UPDATE BVY QMK 27,3 9988 880255
ADD SDV 827,1 6584 948030
UPDATE TPM UPD 29,7 47131 678918
REMOVE GKI 125,6 70263 743572
UPDATE ODT VSW 37,6 94750 892161
REMOVE BSI 454,0 84414 916234
UPDATE YBA RTP 79,7 16137 747231
REMOVE QPR 282,0 247 364028
REMOVE JQB 50,9 35136 985391
ADD DMA 544,3 83353 218506
REMOVE BLO 717,3 44793 944256
REMOVE TQM 969,0 44524 743625
UPDATE JTI RNM 96,3 29758 751805
SEARCH ZIK 656,5 71400 842013
REMOVE ZYX 467,4 68238 325470
REMOVE UAO 286,9 35499 239256
UPDATE SMT IPN 5,2 64892 470693
ADD KAO 771,0 18103 33341
ADD YYZ 91,9 49490 151195
REMOVE BBG 471,3 30896 788146
ADD ILY 847,1 38859 643353
ADD KNX 920,2 45011 758538
SEARCH QEK 108,6 59071 371086
REMOVE EML 700,1 95100 479178
REMOVE GZH 111,2 5509 236597
REMOVE TGH 581,3 38235 788567
ADD DHM 157,9 8296 822488
REMOVE LWY 985,9 18542 339822
ADD WEP 397,8 70912 986376
REMOVE SHB 758,0 17514 132748
REMOVE SUU 248,7 42538 615327
UPDATE LUD UYX 60,3 46118 229682
SEARCH GJO 520,4 62426 828695
ADD NQX 952,0 13380 313683
ADD JKA 548,4 77821 233270
UPDATE OZO KPS 50,7 99496 401145
REMOVE SDD 464,9 36976 191932
UPDATE AIJ HNV 34,7 32717 540896
SEARCH IPJ 666,3 87903 130440
ADD XAK 821,8 69245 47391
ADD VUU 407,7 71565 601335
REMOVE UCX 312,0 16631 357461
REMOVE FMY 105,3 74518 840820
SEARCH GCC 873,6 42141 530639
ADD PAD 477,7 87425 338476
SEARCH CZX 577,1 6357 108677
UPDATE WMQ XLA 64,2 35461 900576
REMOVE JNZ 935,9 21897 690767
REMOVE YEJ 956,3 4199 712396
ADD ZGJ 788,9 74143 754448
ADD CFJ 390,3 80904 420130
ADD CJZ 106,0 27045 777586
REMOVE GHL 915,6 57390 643136
REMOVE BVW 372,8 88001 813190
ADD DUD 480,3 36569 752188
ADD IQZ 270,8 16111 823832
ADD GIB 74,9 97453 352923
SEARCH YKU 648,0 93134 50226
REMOVE JKO 164,9 30609 815423
ADD YMK 187,9 11029 56410
UPDATE UKW UVE 14,9 67116 917417
SEARCH QBA 550,1 34246 577274
ADD JKQ 243,0 456 609871
REMOVE BXA 101,9 61582 362045
UPDATE IUE OUR 23,3 53237 562645
REMOVE YAP 816,7 17604 203498
REMOVE CDO 460,5 56190 895758
SEARCH RDV 243,4 23532 640239
REMOVE UVW 729,5 16148 720028
SEARCH SFD 555,4 35649 203986
ADD PQT 136,7 29686 384358
ADD MQN 214,3 16981 873805
REMOVE OED 488,5 75653 726927
ADD ALO 240,7 81813 298906
ADD UZS 721,7 93454 952412
REMOVE DOQ 768,8 14759 570547
ADD JCU 874,5 60541 616229
SEARCH KMZ 116,2 83554 87364
ADD SVB 818,7 57330 33521
REMOVE YBJ 442,4 83380 597778
UPDATE YHR GUI 72,1 41833 271049
REMOVE EPS 212,3 32658 412520
REMOVE WDJ 448,1 96320 857839
REMOVE DPR 707,0 73741 951287
SEARCH ZJO 36,3 83066 509393
REMOVE DVI 463,7 42928 620936
REMOVE LFF 145,9 16094 77707
REMOVE KJL 547,6 49540 11075
REMOVE RYO 377,5 39943 674642
REMOVE RGN 923,6 92387 679751
ADD LTX 280,8 82484 990681
SEARCH DIO 795,4 82518 240484
REMOVE CFY 10,7 98895 207856
ADD JEM 704,2 59870 683937
ADD JAA 575,1 48952 562235
SEARCH ICA 305,2 51060 652052
REMOVE FNR 941,1 65478 369683
REMOVE QDT 808,2 32482 79187
ADD HCL 835,6 87702 756006
ADD SNK 91,8 10942 684162
ADD TOX 659,0 89808 277538
REMOVE RDE 513,1 88780 1783
SEARCH MXJ 194,3 23917 70164
ADD QEO 532,9 81341 10726
REMOVE WDW 538,2 86690 503421
ADD OHP 785,9 30386 490538
REMOVE PHY 89,5 79581 562288
UPDATE FCH QQC 94,0 16164 391517
REMOVE BRM 576,5 82979 778453
SEARCH EJB 801,8 53701 512304
ADD MSL 331,1 74705 518837
ADD IGZ 665,4 2422 54589
SEARCH YPX 57,0 86566 27640
ADD IQL 887,7 66093 493350
ADD RNQ 442,2 36666 611626
ADD XWX 794,5 67204 328646
REMOVE DWH 910,0 2550 753170
ADD KEN 202,2 12972 236124
REMOVE HQF 942,8 27110 341193
REMOVE JIH 10,3 40852 252125
ADD QHB 453,5 67577 138162
ADD RBC 768,8 80076 754649
REMOVE ZTV 44,2 84463 988377
SEARCH GAW 46,8 50688 814001
ADD KLQ 725,8 89075 974450
UPDATE OKH XWB 11,2 16096 858297
REMOVE ITG 36,0 42037 67652
UPDATE IOV TAL 8,5 30447 674537
REMOVE TAE 880,3 81586 403906
SEARCH FDW 705,1 72131 413086
SEARCH JAN 997,1 68117 671912
REMOVE LSM 865,3 48287 826261
REMOVE DVP 552,9 13272 483328
REMOVE DNW 297,6 54669 175035
REMOVE FRB 716,5 22907 500126
REMOVE JYQ 171,9 4873 514903
ADD EXX 243,1 62512 847926
REMOVE RFV 350,7 82110 530807
ADD SUO 523,4 12995 474035
SEARCH ECZ 471,8 3696 373536
REMOVE XFB 766,5 50172 20032
REMOVE AUK 798,8 81161 880362
ADD KTU 908,5 61946 753170
ADD NQR 770,6 15525 21493
UPDATE DZP NTX 29,1 33064 569181
REMOVE DKZ 303,7 87248 475923
UPDATE TOY SFI 73,3 76452 297429
REMOVE OOC 613,1 76690 130502
SEARCH LFG 467,2 12120 942102
ADD TUB 479,3 68303 902406
REMOVE EGK 337,4 66852 759224
ADD HKC 378,6 94350 202177
REMOVE ECG 350,4 67103 361394
REMOVE PQZ 653,7 81822 608764
ADD IQR 954,1 33466 931317
ADD HFD 172,8 47674 924871
ADD BTV 138,9 3379 157461
REMOVE DVO 678,1 91071 889871
ADD MCN 843,3 82116 292581
ADD JYU 561,3 27844 869166
SEARCH XPC 425,9 21120 780042
ADD AEV 127,5 57660 820865
UPDATE IUM DKS 5,8 75962 822096
REMOVE LUJ 275,9 39887 482695
ADD YBJ 22,6 64935 325168
REMOVE BGS 550,8 82802 100536
ADD SIM 331,4 70693 291126
ADD WCJ 525,7 93268 534328
REMOVE NIF 955,6 41737 546711
ADD NAB 903,5 35936 329735
REMOVE NXW 421,3 26490 802009
UPDATE PDF KUD 30,1 68900 967535
REMOVE GMI 881,6 75441 836450
ADD FYR 342,3 58518 268091
REMOVE VTD 614,7 76864 437882
SEARCH CXV 328,9 55802 739289
ADD ZFV 195,1 18391 442511
ADD QSP 808,0 6725 428532
REMOVE PQS 782,7 76956 734198
ADD AOQ 820,6 76061 356171
ADD LOS 247,6 2203 575801
ADD YMN 77,9 49369 278479
REMOVE ATY 190,7 9980 685732
ADD BUC 394,8 51362 739820
SEARCH STF 46,7 57023 598701
REMOVE ADS 601,9 37846 302243
REMOVE KUG 189,8 11301 735467
ADD ILH 509,0 11714 390278
ADD XXP 715,7 93480 796835
ADD QSA 576,4 7472 166756
REMOVE AZK 454,9 19803 839617
ADD CLT 288,4 21693 59925
REMOVE QRP 192,4 33317 492535
UPDATE HIY RIW 12,4 1851 794921
ADD PXE 430,1 99201 866922
REMOVE DLB 944,5 79663 386095
ADD OUF 805,6 99801 978169
UPDATE ZGZ QSB 68,5 75796 833290
ADD PFY 776,1 49423 557289
UPDATE KWD NDA 67,9 10480 928737
REMOVE BTE 733,3 9867 589316
REMOVE UDZ 648,0 12950 229160
ADD NJQ 781,9 15434 299621
ADD MVH 289,2 20606 820023
ADD PCJ 898,7 75 67999
UPDATE WJW ABZ 88,6 97628 594581
REMOVE QVD 440,1 49102 348500
REMOVE EKG 29,5 7346 215911
ADD IHH 888,6 11871 397639
UPDATE AWK RFN 65,6 97985 936739
ADD AFE 537,5 60113 580817
REMOVE EPE 959,9 66798 964677
SEARCH UER 367,6 82787 450827
ADD EYK 244,9 72881 733718
REMOVE GBP 257,6 24155 23547
UPDATE IWH NMJ 42,2 7665 501749
UPDATE RCX LPE 3,4 39279 713674
SEARCH MEH 938,8 10639 582745
SEARCH RUL 330,2 49353 129621
ADD FEG 425,4 21695 24122
ADD RNV 371,3 60853 203824
REMOVE NVH 443,3 21654 455621
UPDATE NNL SSM 46,8 22030 908972
ADD JBA 266,4 93428 990773
UPDATE DDM NKE 89,0 42643 961617
ADD HOM 431,9 52000 104518
ADD NFZ 370,5 32996 81481
ADD HAO 659,8 74073 488969
REMOVE WNY 68,4 74088 484527
REMOVE CYZ 868,9 91086 24972
ADD DFQ 15,8 3444 218769
ADD HZS 218,4 11700 800343
ADD TAG 588,6 17036 816202
SEARCH RDW 777,6 4506 173805
ADD BKN 756,4 21793 497352
UPDATE EMT MER 10,3 44070 758939
REMOVE AQG 487,7 5173 913477
REMOVE JRB 185,3 5242 645887
ADD VDS 399,9 26120 332655
ADD QZY 240,5 30772 752225
ADD BYQ 677,1 9878 172968
REMOVE HYU 86,2 6420 213088
ADD SPR 913,4 69578 885241
ADD AKV 124,4 46414 775228
REMOVE BVY 809,8 73692 563682
REMOVE ZFL 879,6 2977 853005
REMOVE HGB 957,9 26979 824312
ADD PMI 318,9 59098 5966
ADD WLD 205,3 5781 47617
SEARCH IOV 696,5 52030 937636
UPDATE VDI BYR 64,2 82302 369520
SEARCH GZM 849,1 38297 401697
ADD FIF 549,0 79006 700828
ADD DRB 365,1 3187 344958
UPDATE YNK FIA 48,4 82736 788964
SEARCH JOG 776,9 61121 529827
ADD SFS 690,9 88898 235086
ADD NVH 351,6 80439 830060
ADD HKM 979,5 76894 125070
REMOVE LQU 100,5 91570 177840
ADD OGF 395,0 49548 892335
REMOVE PUF 917,0 82012 190599
ADD AHP 622,6 23920 596543
REMOVE RYX 134,0 68995 213684
ADD TWO 736,8 98294 461005
REMOVE TMK 836,3 62947 822383
ADD VFO 879,5 8849 815299
ADD SBF 245,0 20363 666759
UPDATE ADD QKJ 55,2 93167 596046
ADD BXH 895,3 81416 96762
ADD ARS 339,5 87842 448973
REMOVE TEA 441,6 36177 515243
REMOVE ORC 854,8 74301 886597
REMOVE JTW 461,9 85973 398183
ADD ESU 755,5 56249 221941
REMOVE BVY 538,8 28576 263872
REMOVE XNA 709,0 28564 640772
REMOVE DZW 516,3 46679 619403
REMOVE MED 735,8 79328 6808
SEARCH QLL 640,6 30991 526902
ADD JWT 760,6 47794 387548
ADD TPI 597,6 37203 114884
REMOVE SSI 908,9 86852 364951
REMOVE VXW 854,4 74005 737779
UPDATE EBV CWW 5,8 18801 858731
REMOVE HXQ 458,1 10801 342119
REMOVE EGQ 253,8 96914 315382
ADD GGN 719,5 49749 165915
ADD TFF 834,8 74517 919211
SEARCH YWU 724,1 93372 110290
ADD BDQ 428,8 32394 178248
SEARCH VIG 683,3 7410 701401
ADD KRD 206,3 74417 272125
ADD YFP 904,0 36870 410487
UPDATE BUI PSJ 24,5 70625 27537
UPDATE FKA PHU 77,1 85883 677613
REMOVE PEA 135,5 85673 352673
SEARCH IAG 43,5 59178 895435
ADD CUL 543,0 55304 285695
ADD HMD 26,8 23562 90297
SEARCH TNV 448,9 42801 479992
REMOVE XVP 37,2 56249 817574
REMOVE MVF 28,8 73047 878036
ADD GPS 622,9 75401 944497
REMOVE OMJ 646,7 36532 371044
UPDATE ZJL DGK 54,6 60972 914473
REMOVE MLW 975,3 37069 726104
ADD XZR 883,7 80440 610661
UPDATE OJT DJR 35,5 53714 657760
REMOVE JPA 688,2 43693 399993
ADD CEK 609,5 57840 194004
ADD LCA 749,2 22588 736995
UPDATE JIU WXV 25,6 12763 921408
UPDATE FGW ANC 88,0 34654 488007
SEARCH IOT 832,3 57507 106670
ADD OEO 195,1 19922 223503
UPDATE CBC BKH 19,2 46712 948395
SEARCH IQX 812,0 58488 569464
UPDATE GGN XAQ 44,2 96514 947057
ADD MRF 141,1 84794 238883
ADD UNC 253,4 77137 278086
REMOVE DWS 152,8 46302 827620
ADD USN 401,3 25623 529844
REMOVE PSR 99,9 7373 966595
ADD XRA 203,9 57762 999786
UPDATE CPE IXV 49,3 20817 27169
SEARCH BJY 37,3 71366 584051
SEARCH IVD 496,4 88811 566125
REMOVE FJC 930,5 27096 176246
ADD OCO 440,4 80053 827862
REMOVE LVJ 665,7 39279 103166
ADD FND 402,9 6129 728432
REMOVE ZZO 572,1 93851 580882
ADD ZDS 325,1 94318 529290
ADD ESY 717,4 55277 164189
REMOVE CHZ 589,3 93295 238462
SEARCH ODD 522,0 44742 82735
ADD PSC 503,7 62179 529824
ADD NXJ 123,0 78426 525075
UPDATE CAN GEV 55,3 82877 691237
REMOVE KPA 528,1 85279 785860
REMOVE APL 447,3 644 651403
ADD ULI 16,8 29045 255208
ADD HRT 488,4 84453 684255
SEARCH AAB 250,0 93645 503430
ADD SKS 12,1 94198 535604
UPDATE DEP MBB 90,3 75187 225092
REMOVE VLG 366,2 61620 171448
SEARCH OTH 118,9 63483 482020
UPDATE VOG BVX 31,4 75681 609935
ADD QAU 213,3 15232 192902
SEARCH TBN 677,3 53087 925878
SEARCH ZMU 415,6 46330 530084
SEARCH AON 117,2 56604 806180
